Identifier,Lat,Long
GRSM_TRLR_C,35.643256000,-83.689719000
GRSM_TRLR_P,35.643256000,-83.689719000
GRSM_TRLA_P,35.643272000,-83.692612000
GRSM_TRLA_C,35.643272000,-83.692612000
GRSM_TRLR,35.644280000,-83.690280000
GRSM_BD_JCST,35.653967500,-83.581831389
GRSM_HOBO_MAN_0_24,35.659395000,-83.620689000
VALL_JR_Canon_USGS,35.662200000,-106.743470000
GRSM_ELAQ_700,35.664300000,-83.591100000
GRSM_USGS_03497300,35.664533280,-83.711282100
GRSM_2037-1,35.667222000,-83.072778000
GRSM_USGS_03460000,35.667500000,-83.073611100
GRSM_HOBO_LEC_3_36,35.675186000,-83.487383000
GRSM_06_little_river_2_5,35.678917000,-83.644683000
GRSM_C45 Replicate 1,35.679470000,-83.559220000
GRSM_C45 Replicate 2,35.679470000,-83.559220000
GRSM_HOBO_LEC_2_71,35.680000000,-83.490000000
GRSM_SNTR_dogw,35.686600000,-83.537600000
GRSM_OCONsmoke,35.686698770,-83.500515021
GRSM_WPLPhq,35.686740000,-83.535190000
GRSM_TCT2_886,35.688300000,-83.501400000
GRSM_TCT1_780,35.688700000,-83.501100000
GRSM_HOBO_LEC_2_34,35.690000000,-83.500000000
GRSM_EPA_ERST,35.690283300,-83.319716700
GRSM_RFKupper,35.694203292,-83.465506160
GRSM_CMAQ_601,35.696600000,-83.609800000
GRSM_HOBO_WPLP_19_38,35.701031000,-83.527351000
GRSM_EPA_MPST,35.702650000,-83.334450000
GRSM_MPL_RP,35.702802200,-83.332964167
GRSM-HH,35.702824200,-83.701213200
GRSM_EPA_RPST,35.704283300,-83.329500000
GRSM-DH,35.706927800,-83.710495100
GRSM-RH,35.709942500,-83.716098600
VALL_VC_PCG,35.714400000,-106.621120000
GRSM_MPL_UPSTR,35.714662780,-83.383152200
GRSM_RFKbound,35.714908781,-83.485715649
VALL_WS_VCNJ_Conejos,35.718050000,-106.586110000
GRSM_HOBO_WPLP_16_90,35.724966000,-83.514251000
GRSM_GREE_840,35.729800000,-83.406700000
GRSM_MPL_MID,35.732029440,-83.406465000
GRSM_C41 Replicate 1,35.732470000,-83.410830000
GRSM_C41 Replicate 2,35.732470000,-83.410830000
BANDCAP02,35.735843946,-106.323684480
GRSM_HOBO_MPLP_25_66,35.736405000,-83.413948000
GRSM_HOBO_ICC_6_08,35.737160000,-83.276422000
GRSM_MPL_DOWN,35.738639440,-83.415930833
GRSM_HOBO_COS_13_60,35.747144000,-83.200126000
BANDCAP01,35.758926033,-106.330563467
GRSM_BD_RCST,35.761351100,-83.210112200
GRSM_HOBO_WPLP_13_56,35.761604000,-83.523321000
GRSM_BD_CCST,35.763239444,-83.211003611
GRSM_HOBO_GBC_3_30,35.765386000,-83.253836000
GRSM_DGAT_912,35.770600000,-83.111300000
GRSM_C40 Replicate 1,35.771420000,-83.213550000
GRSM_C40 Replicate 2,35.771420000,-83.213550000
BANDRIT01,35.776394660,-106.268343300
VALL_WS_VJEM_Jemez_Springs,35.779720000,-106.688890000
BANDRIT02,35.815300287,-106.360326325
VALL_RioCeb_Lower,35.822110000,-106.786780000
VALL_EFJR_BR,35.827990000,-106.643470000
VALL_RSA_BR,35.829190000,-106.643640000
VALL_WS_VCEB_Cebollita_Springs,35.831110000,-106.720830000
VALL_EFJR_HV,35.836580000,-106.501650000
VALL_WS_JESN5_Jemez,35.840556000,-106.619722000
VALL_WS_VHVY_Hidden_Valley,35.840830000,-106.500560000
VALL_EFJR,35.847030000,-106.491970000
NATR_BUBR,35.848111111,-87.053694444
VALL_WS_VHVC_Headquarters,35.852780000,-106.521100000
VALL_EFJR_ACJC,35.854830000,-106.478260000
VALL_JC_ACEFJ,35.856740000,-106.478260000
VALL_WS_VLCN5_CRN_Valle_Grande,35.858330000,-106.521390000
VALL_RioCeb_Upper,35.858800000,-106.757630000
VALL_HGC,35.874730000,-106.512030000
VALL_WS_VRDD_Redondo,35.882890000,-106.553610000
VALL_WS_VCDN5_VCNP,35.888610000,-106.530000000
VALL_RC_Upper,35.893120000,-106.576540000
NATR_DOBR,35.907166666,-87.006833333
DEVA_P_LIT0005,35.915213000,-117.019020000
VALL_WS_VLPS_Los_Posos,35.915830000,-106.422780000
SIEN_SEQU_KERNKERN_C,35.945280000,-118.476670000
SIEN_SEQU_KERNKERN,35.945300000,-118.477000000
VALL_RSA_W,35.973450000,-106.596870000
VALL_WS_VVLL_Valle_Toledo,35.973890000,-106.464720000
VALL_WS_VSNT_San_Antonio,35.980560000,-106.570830000
LAKE_P_HOR0042,35.998882000,-114.632845000
DEVA_ECW,36.000000000,-116.000000000
LAKE_P_SUG0011,36.002951000,-114.735593000
GRCA_COTT004,36.023530000,-111.988200000
GRCA_Cottonwood Creek,36.023611000,-111.987500000
GRCA_Cave of the Domes at Gate,36.026708000,-111.983033000
CHCU_USGSADAPS_360143107550401,36.028627150,-107.918395200
Rowe Well,36.034689000,-112.180041000
LAKE_P_GRA0058,36.048242000,-114.020579000
OBRI_Adams_Bridge,36.061667000,-84.961667000
GRCA_Two Tree Spring,36.078015000,-112.125870000
GRCAHER01,36.082700762,-112.212510638
GRCA_Garden Creek_Tapeats,36.085220000,-112.121610000
GRCAGAR01,36.085308917,-112.121509550
PARA_P_LOW0152,36.092840000,-113.573033000
PARA_P_GRE0012,36.093811000,-113.474225000
GRCA_BAC_Phantom Ranch,36.099676000,-112.093997000
GRCA_BAC_Box,36.118717000,-112.083872280
GRCABRI01,36.130839880,-112.075893185
CACHCHI14,36.133889867,-109.472387042
GRCA_Mint Spring,36.140680000,-112.066430000
DEVA_P_GRE0191,36.151472000,-116.624047000
GRCA_Wall Creek,36.163848000,-112.046359000
DEVA_P_PAN0418,36.166908000,-116.974116000
GRCA_Crystal Creek below Dragon,36.169500000,-112.204144000
GRCA_Crystal Creek above Dragon,36.169632000,-112.204329000
GRCA_BAC_CottonwoodCG,36.169820000,-112.041746000
GRCA_Transept Creek,36.171544000,-112.040246000
GRCA_BAC_Manzanita,36.185047200,-112.031997200
DEVA_P_BEN0606,36.192480000,-116.956468000
GRCA_BAC above Roaring Creek,36.193081000,-112.032442000
GRCA_Roaring Creek,36.193396000,112.033519000
GRCA_Roaring Springs_Deep_AT,36.195199000,-112.034397000
GRCA_Roaring Springs_Shallow_LT,36.195273000,-112.034140000
GRCA_Emmett Spring,36.211783000,-112.024414000
DEVA_P_HUM0793,36.221614000,-117.108241000
DEVA_BB,36.230014962,-116.767596478
GRCA_Shinumo_Above CO River,36.239094000,-112.349211000
GRCA_Nanko_South Fork,36.263614000,-111.920917000
GRCA_Nanko_Middle Fork,36.265183000,-111.922071000
DEVA_P_POP0642,36.265575000,-117.193289000
DEVA_D-1,36.274960983,-117.541305039
DEVA_D-3,36.280484267,-116.537366927
KP_Robbers,36.280510000,-112.088910000
KP_Crack,36.280510000,-112.088910000
GRCA_PHAN005,36.280717000,-112.089058000
GRCA_Robbers Roost,36.280717000,-112.089058000
GRCA_Mystic Falls,36.288165000,-111.960352000
GRCA_Shinumo_Modred Abyss,36.289601000,-112.261511000
DEVA_D-4,36.289633545,-117.536384106
DEVA_MS,36.292310899,-117.536446976
DEVA_DVJ-2,36.303147222,-116.454136111
DEVA_DVJ-1,36.303177778,-116.454172222
GRCA_Havasu at Mouth (NPS Gage),36.306800000,-112.761720000
PARA_P_COY0069,36.310736000,-113.693387000
DEVA_D-13,36.315040239,-117.530152923
DEVA_LDW,36.324541008,-117.514018545
SIEN_WEI_SEKI-20_Well-223,36.332800000,-118.618000000
SIEN_WEI_SEKI-04_Well-310,36.334300000,-118.595000000
PARA_P_LIT0087,36.336271000,-113.968918000
LAKE_P_COR0023,36.370727000,-114.460059000
SIEN_WEI_SEKI-11_Well-311,36.373500000,-118.681000000
DEVA_TRPW,36.375277778,-116.658888889
SIEN_WEI_SEKI-11_Well-312,36.375600000,-118.681000000
DEVA_P_SAL0194,36.382626000,-116.721766000
LAKE_P_GNA0050,36.383011000,-114.433934000
LAKE_P_BLUE0,36.389385000,-114.432944000
KP_Stina,36.389460000,-112.299200000
GRCA_ Tapeats above Thunder,36.392538000,-112.451236000
KP_North_Canyon,36.397540000,-112.084640000
GRCA_Dutton Spring,36.399868000,-112.501993000
DEVA_Inyo_BLM-1_Baro,36.400473260,-116.469170300
DEVA_Inyo_BLM-1,36.400473626,-116.469170300
DEVA_Inyo_BLM-1A,36.400522360,-116.469180200
GRCA_Deer Spring,36.401491000,-112.507020000
SIEN_WEI_SEKI-27_Well-350,36.413700000,-118.669000000
SIEN_WEI_SEKI-27_Well-340,36.414600000,-118.669000000
PARA_P_PAKO0,36.414624000,-113.956596000
DEVA_Inyo_BLM-2,36.417054240,-116.494653300
DEVA_USGSADAPS_362532116172701,36.425511580,-116.291706700
DEVA_CR10,36.425555556,-116.290833333
DEVA_CR510,36.425555556,-116.290833333
DEVA_Devils_Hole_Seismic_Study_Data,36.425600000,-116.290800000
SIEN_WEI_SEKI-16_Well-343,36.427700000,-118.429000000
SIEN_WEI_SEKI-23_Well-321,36.433000000,-118.667000000
DEVA_LFCW-1,36.439029300,-116.829724000
HTLN_PERI_Temp_WINTO,36.440553000,94.037520000
HTLN_PERI_Temp_PRATT,36.441130000,-94.034608000
DEVA_USGSADAPS_362629116495601,36.441337550,-116.833107400
DEVA_TRSF,36.441817723,-116.834717394
LAKE_P_GET0066,36.442758000,-114.405262000
DEVA_WRPMW-3,36.444239599,-116.826098065
DEVA_WRPMW-4,36.446120664,-116.801009456
DEVA_LFCW-2,36.446587500,-116.834424100
DEVA_GF-3,36.446911111,-116.382658333
SIEN_WEI_SEKI-08_Well-309,36.447100000,-118.480000000
DEVA_WRPMW-6,36.447435788,-116.829416236
DEVA_WRPMW-2,36.449028435,-116.827292545
DEVA_FC_PW-3,36.449500263,-116.823207294
SIEN_SEQU_KAWEEAFK_R,36.451100000,-118.787000000
DEVA_FC_PW-2,36.451271801,-116.826305555
